date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:00:28	21907/21907	---M--	200	added ('OK')	image/jpeg	etag:%2258a59790-5593%22	http://amovie.gozha.net/images/client-photo/post-awards.jpg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/client-photo/post-awards.jpg	(from http://amovie.gozha.net/index.html)
00:00:29	7199/7199	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258a5980e-1c1f%22	http://amovie.gozha.net/js/external/jquery-migrate-1.2.1.min.js	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/js/external/jquery-migrate-1.2.1.min.js	(from http://amovie.gozha.net/index.html)
00:00:31	27748/27748	---M-Z	200	added ('OK')	text/javascript	etag:%221544639630%22	http://netdna.bootstrapcdn.com/bootstrap/3.0.2/js/bootstrap.min.js	C:/Users/hypev/Desktop/kinema/netdna.bootstrapcdn.com/bootstrap/3.0.2/js/bootstrap.min.js	(from http://amovie.gozha.net/index.html)
00:00:32	93063/93063	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258a5980e-16b87%22	http://amovie.gozha.net/js/external/jquery-1.10.1.min.js	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/js/external/jquery-1.10.1.min.js	(from http://amovie.gozha.net/index.html)
00:00:37	85185/85185	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258a5980f-14cc1%22	http://amovie.gozha.net/rs-plugin/js/jquery.themepunch.plugins.min.js	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/rs-plugin/js/jquery.themepunch.plugins.min.js	(from http://amovie.gozha.net/index.html)
00:00:37	93561/93561	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258a5980f-16d79%22	http://amovie.gozha.net/rs-plugin/js/jquery.themepunch.revolution.min.js	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/rs-plugin/js/jquery.themepunch.revolution.min.js	(from http://amovie.gozha.net/index.html)
00:00:38	1700/1700	---M--	200	added ('OK')	application/javascript	etag:%2258a5980d-6a4%22	http://amovie.gozha.net/js/jquery.mobile.menu.js	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/js/jquery.mobile.menu.js	(from http://amovie.gozha.net/index.html)
00:00:38	9280/9280	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258a5980e-2440%22	http://amovie.gozha.net/js/external/jquery.selectbox-0.2.min.js	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/js/external/jquery.selectbox-0.2.min.js	(from http://amovie.gozha.net/index.html)
00:00:39	5453/5453	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258a5980e-154d%22	http://amovie.gozha.net/js/external/form-element.js	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/js/external/form-element.js	(from http://amovie.gozha.net/index.html)
00:00:39	13962/13962	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258a5980e-368a%22	http://amovie.gozha.net/js/external/jquery.raty.js	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/js/external/jquery.raty.js	(from http://amovie.gozha.net/index.html)
